n, time
100, 0.000000
200, 0.000000
300, 0.000000
400, 0.000000
500, 0.000000
600, 0.000000
700, 0.000000
800, 0.000000
900, 0.000000
1000, 0.001000
1100, 0.000000
1200, 0.001000
1300, 0.000000
1400, 0.001000
1500, 0.000000
1600, 0.000000
1700, 0.001000
1800, 0.000000
1900, 0.000000
2000, 0.001000
2100, 0.001000
2200, 0.001000
2300, 0.001000
2400, 0.001000
2500, 0.001000
2600, 0.002000
2700, 0.001000
2800, 0.001000
2900, 0.001000
3000, 0.001000
3100, 0.001000
3200, 0.002000
3300, 0.002000
3400, 0.001000
3500, 0.001000
3600, 0.002000
3700, 0.002000
3800, 0.002000
3900, 0.002000
4000, 0.002000
4100, 0.002000
4200, 0.001000
4300, 0.002000
4400, 0.002000
4500, 0.002000
4600, 0.002000
4700, 0.002000
4800, 0.002000
4900, 0.001000
5000, 0.002000
5100, 0.002000
5200, 0.002000
5300, 0.003000
5400, 0.002000
5500, 0.002000
5600, 0.002000
5700, 0.002000
5800, 0.003000
5900, 0.003000
6000, 0.002000
6100, 0.002000
6200, 0.003000
6300, 0.002000
6400, 0.002000
6500, 0.002000
6600, 0.002000
6700, 0.002000
6800, 0.002000
6900, 0.003000
7000, 0.002000
7100, 0.004000
7200, 0.002000
7300, 0.003000
7400, 0.003000
7500, 0.002000
7600, 0.002000
7700, 0.002000
7800, 0.002000
7900, 0.003000
8000, 0.002000
8100, 0.003000
8200, 0.003000
8300, 0.003000
8400, 0.002000
8500, 0.002000
8600, 0.003000
8700, 0.003000
8800, 0.003000
8900, 0.003000
9000, 0.003000
9100, 0.004000
9200, 0.003000
9300, 0.003000
9400, 0.002000
9500, 0.003000
9600, 0.004000
9700, 0.004000
9800, 0.003000
9900, 0.004000
10000, 0.003000
10100, 0.003000
10200, 0.004000
10300, 0.004000
10400, 0.003000
10500, 0.003000
10600, 0.004000
10700, 0.004000
10800, 0.003000
10900, 0.004000
11000, 0.004000
11100, 0.005000
11200, 0.004000
11300, 0.003000
11400, 0.004000
11500, 0.004000
11600, 0.003000
11700, 0.004000
11800, 0.004000
11900, 0.004000
12000, 0.004000
12100, 0.004000
12200, 0.006000
12300, 0.005000
12400, 0.005000
12500, 0.005000
12600, 0.005000
12700, 0.005000
12800, 0.004000
12900, 0.004000
13000, 0.004000
13100, 0.005000
13200, 0.005000
13300, 0.005000
13400, 0.005000
13500, 0.005000
13600, 0.004000
13700, 0.005000
13800, 0.004000
13900, 0.005000
14000, 0.005000
14100, 0.005000
14200, 0.005000
14300, 0.006000
14400, 0.005000
14500, 0.005000
14600, 0.005000
14700, 0.005000
14800, 0.005000
14900, 0.005000
15000, 0.005000
15100, 0.005000
15200, 0.005000
15300, 0.005000
15400, 0.005000
15500, 0.006000
15600, 0.006000
15700, 0.005000
15800, 0.005000
15900, 0.005000
16000, 0.006000
16100, 0.006000
16200, 0.005000
16300, 0.007000
16400, 0.005000
16500, 0.005000
16600, 0.007000
16700, 0.005000
16800, 0.006000
16900, 0.007000
17000, 0.005000
17100, 0.006000
17200, 0.005000
17300, 0.006000
17400, 0.006000
17500, 0.006000
17600, 0.006000
17700, 0.005000
17800, 0.006000
17900, 0.006000
18000, 0.006000
18100, 0.006000
18200, 0.007000
18300, 0.007000
18400, 0.007000
18500, 0.007000
18600, 0.007000
18700, 0.007000
18800, 0.006000
18900, 0.006000
19000, 0.006000
19100, 0.007000
19200, 0.008000
19300, 0.006000
19400, 0.007000
19500, 0.007000
19600, 0.007000
19700, 0.006000
19800, 0.007000
19900, 0.007000
20000, 0.007000
20100, 0.007000
20200, 0.009000
20300, 0.007000
20400, 0.007000
20500, 0.007000
20600, 0.008000
20700, 0.006000
20800, 0.007000
20900, 0.006000
21000, 0.007000
21100, 0.007000
21200, 0.008000
21300, 0.008000
21400, 0.007000
21500, 0.008000
21600, 0.006000
21700, 0.007000
21800, 0.008000
21900, 0.008000
22000, 0.008000
22100, 0.008000
22200, 0.008000
22300, 0.009000
22400, 0.007000
22500, 0.007000
22600, 0.012000
22700, 0.011000
22800, 0.008000
22900, 0.008000
23000, 0.009000
23100, 0.018000
23200, 0.009000
23300, 0.009000
23400, 0.009000
23500, 0.009000
23600, 0.009000
23700, 0.009000
23800, 0.008000
23900, 0.009000
24000, 0.008000
24100, 0.009000
24200, 0.008000
24300, 0.008000
24400, 0.008000
24500, 0.010000
24600, 0.009000
24700, 0.009000
24800, 0.008000
24900, 0.008000
25000, 0.008000
25100, 0.009000
25200, 0.010000
25300, 0.008000
25400, 0.009000
25500, 0.008000
25600, 0.010000
25700, 0.010000
25800, 0.009000
25900, 0.010000
26000, 0.008000
26100, 0.009000
26200, 0.008000
2630
