n, time
100,0
200,0
300,0
400,0
500,0
600,0
700,0
800,0
900,0
1000,0
1100,0
1200,0
1300,0
1400,0
1500,0
1600,0
1700,0
1800,0
1900,0
2000,0
2100,0
2200,0
2300,0
2400,0
2500,0
2600,0
2700,0
2800,0.001
2900,0
3000,0
3100,0
3200,0
3300,0
3400,0
3500,0.001
3600,0
3700,0.001
3800,0
3900,0.001
4000,0
4100,0.001
4200,0.001
4300,0.001
4400,0.001
4500,0
4600,0.001
4700,0.001
4800,0.001
4900,0.001
5000,0
5100,0
5200,0.002
5300,0.001
5400,0.001
5500,0.003
5600,0.002
5700,0.001
5800,0.001
5900,0.002
6000,0.001
6100,0.002
6200,0.001
6300,0.002
6400,0.002
6500,0.001
6600,0.002
6700,0.001
6800,0.003
6900,0.001
7000,0.002
7100,0.001
7200,0.001
7300,0.001
7400,0.002
7500,0.002
7600,0.002
7700,0.002
7800,0.001
7900,0.001
8000,0.002
8100,0.002
8200,0.001
8300,0.001
8400,0.002
8500,0.002
8600,0.002
8700,0.002
8800,0.001
8900,0.001
9000,0.001
9100,0.001
9200,0.002
9300,0.002
9400,0.001
9500,0.002
9600,0.002
9700,0.003
9800,0.002
9900,0.002
10000,0.002
10100,0.002
10200,0.001
10300,0.003
10400,0.002
10500,0.002
10600,0.003
10700,0.002
10800,0.002
10900,0.002
11000,0.002
11100,0.002
11200,0.002
11300,0.002
11400,0.002
11500,0.002
11600,0.002
11700,0.002
11800,0.002
11900,0.002
12000,0.002
12100,0.002
12200,0.003
12300,0.003
12400,0.003
12500,0.002
12600,0.002
12700,0.002
12800,0.003
12900,0.003
13000,0.002
13100,0.002
13200,0.002
13300,0.003
13400,0.003
13500,0.002
13600,0.002
13700,0.002
13800,0.002
13900,0.002
14000,0.002
14100,0.003
14200,0.003
14300,0.002
14400,0.002
14500,0.003
14600,0.003
14700,0.002
14800,0.003
14900,0.003
15000,0.003
15100,0.003
15200,0.002
15300,0.003
15400,0.004
15500,0.003
15600,0.003
15700,0.002
15800,0.004
15900,0.002
16000,0.003
16100,0.002
16200,0.003
16300,0.003
16400,0.003
16500,0.004
