n, time
100, 0.000000
200, 0.000000
300, 0.000000
400, 0.001000
500, 0.001000
600, 0.000000
700, 0.001000
800, 0.002000
900, 0.001000
1000, 0.002000
1100, 0.002000
1200, 0.002000
1300, 0.002000
1400, 0.003000
1500, 0.003000
1600, 0.004000
1700, 0.004000
1800, 0.005000
1900, 0.005000
2000, 0.005000
2100, 0.006000
2200, 0.007000
2300, 0.007000
2400, 0.008000
2500, 0.009000
2600, 0.010000
2700, 0.010000
2800, 0.011000
2900, 0.012000
3000, 0.012000
3100, 0.014000
3200, 0.015000
3300, 0.015000
3400, 0.017000
3500, 0.018000
3600, 0.019000
3700, 0.020000
3800, 0.020000
3900, 0.021000
4000, 0.023000
4100, 0.024000
4200, 0.025000
4300, 0.025000
4400, 0.027000
4500, 0.029000
4600, 0.030000
4700, 0.031000
4800, 0.032000
4900, 0.033000
5000, 0.035000
5100, 0.036000
5200, 0.039000
5300, 0.040000
5400, 0.041000
5500, 0.042000
5600, 0.044000
5700, 0.046000
5800, 0.047000
5900, 0.052000
6000, 0.068000
6100, 0.055000
6200, 0.054000
6300, 0.058000
6400, 0.057000
6500, 0.059000
6600, 0.063000
6700, 0.064000
6800, 0.065000
6900, 0.064000
7000, 0.068000
7100, 0.068000
7200, 0.071000
7300, 0.074000
7400, 0.075000
7500, 0.077000
7600, 0.077000
7700, 0.082000
7800, 0.082000
7900, 0.086000
8000, 0.085000
8100, 0.091000
8200, 0.090000
8300, 0.094000
8400, 0.098000
8500, 0.097000
8600, 0.100000
8700, 0.104000
8800, 0.105000
8900, 0.108000
9000, 0.109000
9100, 0.111000
9200, 0.115000
9300, 0.119000
9400, 0.120000
9500, 0.120000
9600, 0.126000
9700, 0.128000
9800, 0.128000
9900, 0.134000
10000, 0.137000
10100, 0.139000
10200, 0.143000
10300, 0.145000
10400, 0.149000
10500, 0.151000
10600, 0.154000
10700, 0.152000
10800, 0.159000
10900, 0.163000
11000, 0.167000
11100, 0.169000
11200, 0.171000
11300, 0.175000
11400, 0.183000
11500, 0.185000
11600, 0.184000
11700, 0.182000
11800, 0.184000
11900, 0.189000
12000, 0.196000
12100, 0.201000
12200, 0.203000
12300, 0.208000
12400, 0.211000
12500, 0.207000
12600, 0.210000
12700, 0.220000
12800, 0.225000
12900, 0.220000
13000, 0.223000
13100, 0.235000
13200, 0.232000
13300, 0.241000
13400, 0.247000
